country,cover,director,genre,mark,playable,rank,rater,release_date,starring,title
韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,导演: 杨宇硕 Woo-seok Yang,剧情,9.2,[不可播放],60,596131人评价,2013,主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,辩护人
中国台湾 美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,导演: 李安 Ang Lee,剧情 家庭,9.2,[不可播放],61,631540人评价,1994,主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,饮食男女
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,导演: 大卫·芬奇 David Fincher,剧情 动作 悬疑 惊悚,9.0,[不可播放],62,858606人评价,1999,主演: 爱德华·诺顿 Edward Norton / 布拉...,搏击俱乐部
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,导演: 大卫·芬奇 David Fincher,剧情 爱情 奇幻,9.0,[不可播放],63,998101人评价,2008,主演: 凯特·布兰切特 Cate Blanchett / ...,本杰明·巴顿奇事
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,导演: 朗·霍华德 Ron Howard,传记 剧情,9.1,[不可播放],64,779657人评价,2001,主演: 罗素·克劳 Russell Crowe / 艾德·哈...,美丽心灵
英国 美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,导演: 马克·赫尔曼 Mark Herman,剧情 战争,9.2,[不可播放],65,575622人评价,2008,主演: 阿萨·巴特菲尔德 Asa Butterfield ...,穿条纹睡衣的男孩
德国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,剧情 悬疑,9.2,[不可播放],66,572524人评价,2006,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,窃听风暴
日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,导演: 岩井俊二 Shunji Iwai,剧情 爱情,8.9,[不可播放],67,1132886人评价,1995,主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,情书
英国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,导演: 盖·里奇 Guy Ritchie,剧情 喜剧 犯罪,9.1,[不可播放],68,602846人评价,1998,主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,两杆大烟枪
意大利 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,剧情 战争 情色,8.9,[不可播放],69,989193人评价,2000,主演: 莫妮卡·贝鲁奇 Monica ...,西西里的美丽传说
西班牙,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,导演: 奥里奥尔·保罗 Oriol Paulo,剧情 犯罪 悬疑 惊悚,8.8,[不可播放],70,1290229人评价,2016,主演: 马里奥·卡萨斯 Mario Casas / 阿...,看不见的客人
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,导演: 罗伯特·怀斯 Robert Wise,剧情 传记 爱情 歌舞,9.1,[不可播放],71,611891人评价,1965,主演: 朱莉·安德鲁斯 Julie Andrews / 克...,音乐之声
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589067.jpg,导演: 詹姆斯·卡梅隆 James Cameron,动作 科幻 冒险,8.8,[不可播放],72,1440357人评价,2009,主演: 萨姆·沃辛顿 Sam Worthington ...,阿凡达
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,剧情 战争,9.1,[不可播放],73,656533人评价,1998,主演: 汤姆·汉克斯 Tom Hanks...,拯救大兵瑞恩
美国 英国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,导演: 大卫·叶茨 David Yates,奇幻 冒险,9.0,[不可播放],74,846655人评价,2011,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,哈利·波特与死亡圣器(下)
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,导演: 米洛斯·福尔曼 Miloš Forman,剧情,9.1,[不可播放],75,553998人评价,1975,主演: 杰克·尼科尔森 Jack Nichols...,飞越疯人院
伊朗,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,导演: 马基德·马基迪 Majid Majidi,剧情 儿童 家庭,9.2,[不可播放],76,417364人评价,1997,主演: 默罕默德·阿米尔·纳吉 Mohamma...,小鞋子
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,导演: 乔纳森·戴米 Jonathan Demme,剧情 犯罪 惊悚,8.9,[不可播放],77,904158人评价,1991,主演: 朱迪·福斯特 Jodie Foster / 安...,沉默的羔羊
美国 德国 英国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896589466.jpg,导演: 韦斯·安德森 Wes Anderson,剧情 喜剧 冒险,8.9,[不可播放],78,954865人评价,2014,主演: 拉尔夫·费因斯 Ralph Fiennes / ...,布达佩斯大饭店
中国大陆 中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,导演: 周星驰 Stephen Chow,动作 喜剧 犯罪 奇幻,8.8,[不可播放],79,1156177人评价,2004,主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,功夫
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,导演: Martin Scorsese,剧情 悬疑 惊悚,8.9,[不可播放],80,993944人评价,2010,主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,禁闭岛
美国 加拿大,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,剧情 悬疑 科幻 惊悚,8.9,[不可播放],81,952965人评价,2004,主...,蝴蝶效应
英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,导演: 克里斯托弗·诺兰 Christopher Nolan,剧情 悬疑 惊悚,8.9,[不可播放],82,874136人评价,2006,主演: 休·杰克曼 Hugh Jackman...,致命魔术
